date,seasonality,weather,is_holiday
2022-01-01,Winter,Sunny,1
2022-01-01,Winter,Rainy,0
2022-01-01,Winter,Snowy,0
2022-01-01,Winter,Cloudy,0
2022-01-01,Winter,Cloudy,1
2022-01-01,Winter,Rainy,1
2022-01-01,Winter,Sunny,0
2022-01-01,Winter,Snowy,1
2022-01-02,Winter,Snowy,0
2022-01-02,Winter,Cloudy,0
2022-01-02,Winter,Rainy,0
2022-01-02,Winter,Sunny,0
2022-01-02,Winter,Snowy,1
2022-01-02,Winter,Sunny,1
2022-01-02,Winter,Rainy,1
2022-01-02,Winter,Cloudy,1
2022-01-03,Winter,Rainy,1
2022-01-03,Winter,Rainy,0
2022-01-03,Winter,Sunny,0
2022-01-03,Winter,Snowy,0
2022-01-03,Winter,Cloudy,0
2022-01-03,Winter,Cloudy,1
2022-01-03,Winter,Sunny,1
2022-01-03,Winter,Snowy,1
2022-01-04,Winter,Snowy,1
2022-01-04,Winter,Cloudy,1
2022-01-04,Winter,Rainy,0
2022-01-04,Winter,Snowy,0
2022-01-04,Winter,Sunny,1
2022-01-04,Winter,Sunny,0
2022-01-04,Winter,Cloudy,0
2022-01-04,Winter,Rainy,1
2022-01-05,Winter,Sunny,0
2022-01-05,Winter,Cloudy,0
2022-01-05,Winter,Snowy,1
2022-01-05,Winter,Sunny,1
2022-01-05,Winter,Snowy,0
2022-01-05,Winter,Rainy,1
2022-01-05,Winter,Cloudy,1
2022-01-05,Winter,Rainy,0
2022-01-06,Winter,Snowy,0
2022-01-06,Winter,Rainy,0
2022-01-06,Winter,Sunny,0
2022-01-06,Winter,Cloudy,0
2022-01-06,Winter,Cloudy,1
2022-01-06,Winter,Rainy,1
2022-01-06,Winter,Snowy,1
2022-01-06,Winter,Sunny,1
2022-01-07,Winter,Sunny,0
2022-01-07,Winter,Snowy,0
2022-01-07,Winter,Rainy,1
2022-01-07,Winter,Cloudy,0
2022-01-07,Winter,Rainy,0
2022-01-07,Winter,Sunny,1
2022-01-07,Winter,Cloudy,1
2022-01-07,Winter,Snowy,1
2022-01-08,Winter,Cloudy,0
2022-01-08,Winter,Snowy,0
2022-01-08,Winter,Sunny,0
2022-01-08,Winter,Sunny,1
2022-01-08,Winter,Rainy,0
2022-01-08,Winter,Cloudy,1
2022-01-08,Winter,Snowy,1
2022-01-08,Winter,Rainy,1
2022-01-09,Winter,Sunny,0
2022-01-09,Winter,Cloudy,0
2022-01-09,Winter,Rainy,0
2022-01-09,Winter,Snowy,0
2022-01-09,Winter,Rainy,1
2022-01-09,Winter,Cloudy,1
2022-01-09,Winter,Sunny,1
2022-01-09,Winter,Snowy,1
2022-01-10,Winter,Rainy,0
2022-01-10,Winter,Snowy,0
2022-01-10,Winter,Sunny,0
2022-01-10,Winter,Cloudy,0
2022-01-10,Winter,Sunny,1
2022-01-10,Winter,Snowy,1
2022-01-10,Winter,Cloudy,1
2022-01-10,Winter,Rainy,1
2022-01-11,Winter,Cloudy,0
2022-01-11,Winter,Rainy,0
2022-01-11,Winter,Snowy,1
2022-01-11,Winter,Snowy,0
2022-01-11,Winter,Sunny,0
2022-01-11,Winter,Rainy,1
2022-01-11,Winter,Sunny,1
2022-01-11,Winter,Cloudy,1
2022-01-12,Winter,Rainy,0
2022-01-12,Winter,Sunny,0
2022-01-12,Winter,Rainy,1
2022-01-12,Winter,Snowy,0
2022-01-12,Winter,Cloudy,0
2022-01-12,Winter,Cloudy,1
2022-01-12,Winter,Snowy,1
2022-01-12,Winter,Sunny,1
2022-01-13,Winter,Cloudy,0
2022-01-13,Winter,Cloudy,1
2022-01-13,Winter,Rainy,1
2022-01-13,Winter,Sunny,1
2022-01-13,Winter,Sunny,0
2022-01-13,Winter,Snowy,0
2022-01-13,Winter,Rainy,0
2022-01-13,Winter,Snowy,1
2022-01-14,Winter,Rainy,0
2022-01-14,Winter,Sunny,0
2022-01-14,Winter,Cloudy,0
2022-01-14,Winter,Snowy,0
2022-01-14,Winter,Sunny,1
2022-01-14,Winter,Rainy,1
2022-01-14,Winter,Cloudy,1
2022-01-14,Winter,Snowy,1
2022-01-15,Winter,Rainy,0
2022-01-15,Winter,Snowy,0
2022-01-15,Winter,Sunny,0
2022-01-15,Winter,Cloudy,1
2022-01-15,Winter,Cloudy,0
2022-01-15,Winter,Rainy,1
2022-01-15,Winter,Sunny,1
2022-01-15,Winter,Snowy,1
2022-01-16,Winter,Rainy,0
2022-01-16,Winter,Snowy,0
2022-01-16,Winter,Sunny,0
2022-01-16,Winter,Cloudy,1
2022-01-16,Winter,Cloudy,0
2022-01-16,Winter,Rainy,1
2022-01-16,Winter,Sunny,1
2022-01-16,Winter,Snowy,1
2022-01-17,Winter,Sunny,0
2022-01-17,Winter,Sunny,1
2022-01-17,Winter,Cloudy,0
2022-01-17,Winter,Rainy,0
2022-01-17,Winter,Rainy,1
2022-01-17,Winter,Snowy,0
2022-01-17,Winter,Snowy,1
2022-01-17,Winter,Cloudy,1
2022-01-18,Winter,Snowy,1
2022-01-18,Winter,Sunny,0
2022-01-18,Winter,Rainy,0
2022-01-18,Winter,Snowy,0
2022-01-18,Winter,Cloudy,1
2022-01-18,Winter,Cloudy,0
2022-01-18,Winter,Sunny,1
2022-01-18,Winter,Rainy,1
2022-01-19,Winter,Snowy,0
2022-01-19,Winter,Sunny,0
2022-01-19,Winter,Rainy,0
2022-01-19,Winter,Cloudy,0
2022-01-19,Winter,Sunny,1
2022-01-19,Winter,Rainy,1
2022-01-19,Winter,Snowy,1
2022-01-19,Winter,Cloudy,1
2022-01-20,Winter,Sunny,0
2022-01-20,Winter,Cloudy,0
2022-01-20,Winter,Snowy,0
2022-01-20,Winter,Rainy,0
2022-01-20,Winter,Rainy,1
2022-01-20,Winter,Snowy,1
2022-01-20,Winter,Sunny,1
2022-01-20,Winter,Cloudy,1
2022-01-21,Winter,Snowy,0
2022-01-21,Winter,Sunny,0
2022-01-21,Winter,Sunny,1
2022-01-21,Winter,Cloudy,1
2022-01-21,Winter,Rainy,0
2022-01-21,Winter,Cloudy,0
2022-01-21,Winter,Snowy,1
2022-01-21,Winter,Rainy,1
2022-01-22,Winter,Snowy,0
2022-01-22,Winter,Cloudy,0
2022-01-22,Winter,Rainy,0
2022-01-22,Winter,Sunny,0
2022-01-22,Winter,Cloudy,1
2022-01-22,Winter,Snowy,1
2022-01-22,Winter,Rainy,1
2022-01-22,Winter,Sunny,1
2022-01-23,Winter,Snowy,0
2022-01-23,Winter,Rainy,1
2022-01-23,Winter,Sunny,0
2022-01-23,Winter,Rainy,0
2022-01-23,Winter,Snowy,1
2022-01-23,Winter,Cloudy,0
2022-01-23,Winter,Cloudy,1
2022-01-23,Winter,Sunny,1
2022-01-24,Winter,Snowy,0
2022-01-24,Winter,Rainy,0
2022-01-24,Winter,Cloudy,0
2022-01-24,Winter,Sunny,0
2022-01-24,Winter,Rainy,1
2022-01-24,Winter,Snowy,1
2022-01-24,Winter,Sunny,1
2022-01-24,Winter,Cloudy,1
2022-01-25,Winter,Cloudy,0
2022-01-25,Winter,Snowy,0
2022-01-25,Winter,Sunny,0
2022-01-25,Winter,Snowy,1
2022-01-25,Winter,Rainy,0
2022-01-25,Winter,Cloudy,1
2022-01-25,Winter,Sunny,1
2022-01-25,Winter,Rainy,1
2022-01-26,Winter,Sunny,0
2022-01-26,Winter,Rainy,0
2022-01-26,Winter,Cloudy,0
2022-01-26,Winter,Sunny,1
2022-01-26,Winter,Snowy,0
2022-01-26,Winter,Rainy,1
2022-01-26,Winter,Cloudy,1
2022-01-26,Winter,Snowy,1
2022-01-27,Winter,Rainy,0
2022-01-27,Winter,Cloudy,1
2022-01-27,Winter,Snowy,0
2022-01-27,Winter,Sunny,0
2022-01-27,Winter,Sunny,1
2022-01-27,Winter,Cloudy,0
2022-01-27,Winter,Rainy,1
2022-01-27,Winter,Snowy,1
2022-01-28,Winter,Cloudy,1
2022-01-28,Winter,Snowy,0
2022-01-28,Winter,Rainy,0
2022-01-28,Winter,Cloudy,0
2022-01-28,Winter,Sunny,0
2022-01-28,Winter,Rainy,1
2022-01-28,Winter,Sunny,1
2022-01-28,Winter,Snowy,1
2022-01-29,Winter,Snowy,1
2022-01-29,Winter,Rainy,0
2022-01-29,Winter,Snowy,0
2022-01-29,Winter,Cloudy,1
2022-01-29,Winter,Sunny,0
2022-01-29,Winter,Cloudy,0
2022-01-29,Winter,Rainy,1
2022-01-29,Winter,Sunny,1
2022-01-30,Winter,Rainy,0
2022-01-30,Winter,Rainy,1
2022-01-30,Winter,Cloudy,1
2022-01-30,Winter,Snowy,1
2022-01-30,Winter,Sunny,0
2022-01-30,Winter,Cloudy,0
2022-01-30,Winter,Snowy,0
2022-01-30,Winter,Sunny,1
2022-01-31,Winter,Cloudy,0
2022-01-31,Winter,Snowy,0
2022-01-31,Winter,Rainy,0
2022-01-31,Winter,Sunny,0
2022-01-31,Winter,Snowy,1
2022-01-31,Winter,Rainy,1
2022-01-31,Winter,Sunny,1
2022-01-31,Winter,Cloudy,1
2022-02-01,Winter,Sunny,0
2022-02-01,Winter,Rainy,0
2022-02-01,Winter,Snowy,0
2022-02-01,Winter,Rainy,1
2022-02-01,Winter,Cloudy,0
2022-02-01,Winter,Cloudy,1
2022-02-01,Winter,Sunny,1
2022-02-01,Winter,Snowy,1
2022-02-02,Winter,Rainy,0
2022-02-02,Winter,Sunny,0
2022-02-02,Winter,Cloudy,0
2022-02-02,Winter,Snowy,0
2022-02-02,Winter,Cloudy,1
2022-02-02,Winter,Rainy,1
2022-02-02,Winter,Sunny,1
2022-02-02,Winter,Snowy,1
2022-02-03,Winter,Sunny,0
2022-02-03,Winter,Rainy,0
2022-02-03,Winter,Snowy,0
2022-02-03,Winter,Cloudy,0
2022-02-03,Winter,Snowy,1
2022-02-03,Winter,Sunny,1
2022-02-03,Winter,Rainy,1
2022-02-03,Winter,Cloudy,1
2022-02-04,Winter,Cloudy,0
2022-02-04,Winter,Snowy,0
2022-02-04,Winter,Rainy,0
2022-02-04,Winter,Rainy,1
2022-02-04,Winter,Sunny,0
2022-02-04,Winter,Cloudy,1
2022-02-04,Winter,Snowy,1
2022-02-04,Winter,Sunny,1
2022-02-05,Winter,Snowy,0
2022-02-05,Winter,Rainy,0
2022-02-05,Winter,Sunny,0
2022-02-05,Winter,Sunny,1
2022-02-05,Winter,Cloudy,0
2022-02-05,Winter,Snowy,1
2022-02-05,Winter,Rainy,1
2022-02-05,Winter,Cloudy,1
2022-02-06,Winter,Rainy,0
2022-02-06,Winter,Cloudy,0
2022-02-06,Winter,Sunny,0
2022-02-06,Winter,Cloudy,1
2022-02-06,Winter,Snowy,0
2022-02-06,Winter,Snowy,1
2022-02-06,Winter,Sunny,1
2022-02-06,Winter,Rainy,1
2022-02-07,Winter,Cloudy,0
2022-02-07,Winter,Sunny,0
2022-02-07,Winter,Cloudy,1
2022-02-07,Winter,Snowy,0
2022-02-07,Winter,Rainy,0
2022-02-07,Winter,Rainy,1
2022-02-07,Winter,Snowy,1
2022-02-07,Winter,Sunny,1
2022-02-08,Winter,Rainy,0
2022-02-08,Winter,Snowy,0
2022-02-08,Winter,Sunny,0
2022-02-08,Winter,Rainy,1
2022-02-08,Winter,Cloudy,1
2022-02-08,Winter,Cloudy,0
2022-02-08,Winter,Sunny,1
2022-02-08,Winter,Snowy,1
2022-02-09,Winter,Cloudy,1
2022-02-09,Winter,Rainy,0
2022-02-09,Winter,Snowy,0
2022-02-09,Winter,Sunny,0
2022-02-09,Winter,Rainy,1
2022-02-09,Winter,Snowy,1
2022-02-09,Winter,Cloudy,0
2022-02-09,Winter,Sunny,1
2022-02-10,Winter,Snowy,0
2022-02-10,Winter,Rainy,1
2022-02-10,Winter,Rainy,0
2022-02-10,Winter,Cloudy,0
2022-02-10,Winter,Sunny,0
2022-02-10,Winter,Snowy,1
2022-02-10,Winter,Sunny,1
2022-02-10,Winter,Cloudy,1
2022-02-11,Winter,Cloudy,0
2022-02-11,Winter,Cloudy,1
2022-02-11,Winter,Sunny,1
2022-02-11,Winter,Snowy,1
2022-02-11,Winter,Rainy,0
2022-02-11,Winter,Snowy,0
2022-02-11,Winter,Sunny,0
2022-02-11,Winter,Rainy,1
2022-02-12,Winter,Snowy,0
2022-02-12,Winter,Rainy,0
2022-02-12,Winter,Cloudy,0
2022-02-12,Winter,Rainy,1
2022-02-12,Winter,Snowy,1
2022-02-12,Winter,Sunny,0
2022-02-12,Winter,Cloudy,1
2022-02-12,Winter,Sunny,1
2022-02-13,Winter,Snowy,0
2022-02-13,Winter,Sunny,0
2022-02-13,Winter,Cloudy,0
2022-02-13,Winter,Cloudy,1
2022-02-13,Winter,Sunny,1
2022-02-13,Winter,Rainy,0
2022-02-13,Winter,Rainy,1
2022-02-13,Winter,Snowy,1
2022-02-14,Winter,Snowy,0
2022-02-14,Winter,Sunny,0
2022-02-14,Winter,Cloudy,0
2022-02-14,Winter,Rainy,0
2022-02-14,Winter,Snowy,1
2022-02-14,Winter,Sunny,1
2022-02-14,Winter,Rainy,1
2022-02-14,Winter,Cloudy,1
2022-02-15,Winter,Rainy,0
2022-02-15,Winter,Cloudy,0
2022-02-15,Winter,Cloudy,1
2022-02-15,Winter,Rainy,1
2022-02-15,Winter,Snowy,0
2022-02-15,Winter,Sunny,0
2022-02-15,Winter,Snowy,1
2022-02-15,Winter,Sunny,1
2022-02-16,Winter,Snowy,1
2022-02-16,Winter,Cloudy,0
2022-02-16,Winter,Sunny,0
2022-02-16,Winter,Snowy,0
2022-02-16,Winter,Rainy,0
2022-02-16,Winter,Rainy,1
2022-02-16,Winter,Sunny,1
2022-02-16,Winter,Cloudy,1
2022-02-17,Winter,Snowy,0
2022-02-17,Winter,Rainy,0
